detailedaddress,prefecture_id,prefecture_name,county_id,county_name,township_id,township_name,addresslevel,id,name,road_id,road_name,village_id,village_name,block_id,block_name,building_id,building_name,unit_id,unit_name,floor_id,floor_name,door_id,door_name,p_day,p_city
杭州市滨江区浦沿街道杨家墩社区上沙庙23号,2,杭州市,13,滨江区,128,浦沿街道,4,11882784,23号,94801,杨家墩社区,\N,\N,91889412,上沙庙,11882784,23号,\N,\N,\N,\N,\N,\N,20220601,2
杭州市滨江区浦沿街道杨家墩社区上沙庙144号,2,杭州市,13,滨江区,128,浦沿街道,4,11882903,144号,94801,杨家墩社区,\N,\N,91889412,上沙庙,11882903,144号,\N,\N,\N,\N,\N,\N,20220601,2
杭州市滨江区浦沿街道杨家墩社区上沙庙65号,2,杭州市,13,滨江区,128,浦沿街道,4,11882830,65号,94801,杨家墩社区,\N,\N,91889412,上沙庙,11882830,65号,\N,\N,\N,\N,\N,\N,20220601,2
杭州市滨江区浦沿街道杨家墩社区上沙庙32号,2,杭州市,13,滨江区,128,浦沿街道,4,11882793,32号,94801,杨家墩社区,\N,\N,91889412,上沙庙,11882793,32号,\N,\N,\N,\N,\N,\N,20220601,2
杭州市滨江区浦沿街道杨家墩社区上沙庙153号,2,杭州市,13,滨江区,128,浦沿街道,4,11882891,153号,94801,杨家墩社区,\N,\N,91889412,上沙庙,11882891,153号,\N,\N,\N,\N,\N,\N,20220601,2
杭州市滨江区浦沿街道杨家墩社区上沙庙128号,2,杭州市,13,滨江区,128,浦沿街道,4,11882881,128号,94801,杨家墩社区,\N,\N,91889412,上沙庙,11882881,128号,\N,\N,\N,\N,\N,\N,20220601,2
杭州市滨江区浦沿街道杨家墩社区上沙庙102号,2,杭州市,13,滨江区,128,浦沿街道,4,11882855,102号,94801,杨家墩社区,\N,\N,91889412,上沙庙,11882855,102号,\N,\N,\N,\N,\N,\N,20220601,2
杭州市滨江区浦沿街道杨家墩社区上沙庙61号,2,杭州市,13,滨江区,128,浦沿街道,4,11882826,61号,94801,杨家墩社区,\N,\N,91889412,上沙庙,11882826,61号,\N,\N,\N,\N,\N,\N,20220601,2
杭州市滨江区浦沿街道杨家墩社区上沙庙92号,2,杭州市,13,滨江区,128,浦沿街道,4,11882845,92号,94801,杨家墩社区,\N,\N,91889412,上沙庙,11882845,92号,\N,\N,\N,\N,\N,\N,20220601,2
杭州市滨江区浦沿街道杨家墩社区上沙庙48号,2,杭州市,13,滨江区,128,浦沿街道,4,11882773,48号,94801,杨家墩社区,\N,\N,91889412,上沙庙,11882773,48号,\N,\N,\N,\N,\N,\N,20220601,2
杭州市滨江区浦沿街道杨家墩社区上沙庙96号,2,杭州市,13,滨江区,128,浦沿街道,4,11882849,96号,94801,杨家墩社区,\N,\N,91889412,上沙庙,11882849,96号,\N,\N,\N,\N,\N,\N,20220601,2
杭州市滨江区浦沿街道杨家墩社区上沙庙66号,2,杭州市,13,滨江区,128,浦沿街道,4,11882831,66号,94801,杨家墩社区,\N,\N,91889412,上沙庙,11882831,66号,\N,\N,\N,\N,\N,\N,20220601,2
杭州市滨江区浦沿街道杨家墩社区上沙庙127号,2,杭州市,13,滨江区,128,浦沿街道,4,11882880,127号,94801,杨家墩社区,\N,\N,91889412,上沙庙,11882880,127号,\N,\N,\N,\N,\N,\N,20220601,2
杭州市滨江区浦沿街道杨家墩社区上沙庙14号,2,杭州市,13,滨江区,128,浦沿街道,4,11882778,14号,94801,杨家墩社区,\N,\N,91889412,上沙庙,11882778,14号,\N,\N,\N,\N,\N,\N,20220601,2
杭州市滨江区浦沿街道杨家墩社区上沙庙89号,2,杭州市,13,滨江区,128,浦沿街道,4,11882842,89号,94801,杨家墩社区,\N,\N,91889412,上沙庙,11882842,89号,\N,\N,\N,\N,\N,\N,20220601,2
杭州市滨江区浦沿街道杨家墩社区上沙庙120号,2,杭州市,13,滨江区,128,浦沿街道,4,11882873,120号,94801,杨家墩社区,\N,\N,91889412,上沙庙,11882873,120号,\N,\N,\N,\N,\N,\N,20220601,2
杭州市滨江区浦沿街道杨家墩社区上沙庙70号,2,杭州市,13,滨江区,128,浦沿街道,4,11882803,70号,94801,杨家墩社区,\N,\N,91889412,上沙庙,11882803,70号,\N,\N,\N,\N,\N,\N,20220601,2
杭州市滨江区浦沿街道杨家墩社区上沙庙121号,2,杭州市,13,滨江区,128,浦沿街道,4,11882874,121号,94801,杨家墩社区,\N,\N,91889412,上沙庙,11882874,121号,\N,\N,\N,\N,\N,\N,20220601,2
杭州市滨江区浦沿街道杨家墩社区上沙庙69号,2,杭州市,13,滨江区,128,浦沿街道,4,11882802,69号,94801,杨家墩社区,\N,\N,91889412,上沙庙,11882802,69号,\N,\N,\N,\N,\N,\N,20220601,2
杭州市滨江区浦沿街道杨家墩社区上沙庙75号,2,杭州市,13,滨江区,128,浦沿街道,4,11882808,75号,94801,杨家墩社区,\N,\N,91889412,上沙庙,11882808,75号,\N,\N,\N,\N,\N,\N,20220601,2
杭州市滨江区浦沿街道杨家墩社区上沙庙140号,2,杭州市,13,滨江区,128,浦沿街道,4,11882899,140号,94801,杨家墩社区,\N,\N,91889412,上沙庙,11882899,140号,\N,\N,\N,\N,\N,\N,20220601,2
杭州市滨江区浦沿街道杨家墩社区上沙庙24号,2,杭州市,13,滨江区,128,浦沿街道,4,11882785,24号,94801,杨家墩社区,\N,\N,91889412,上沙庙,11882785,24号,\N,\N,\N,\N,\N,\N,20220601,2
杭州市滨江区浦沿街道杨家墩社区上沙庙130号,2,杭州市,13,滨江区,128,浦沿街道,4,11882883,130号,94801,杨家墩社区,\N,\N,91889412,上沙庙,11882883,130号,\N,\N,\N,\N,\N,\N,20220601,2
杭州市滨江区浦沿街道杨家墩社区上沙庙155号,2,杭州市,13,滨江区,128,浦沿街道,4,11882893,155号,94801,杨家墩社区,\N,\N,91889412,上沙庙,11882893,155号,\N,\N,\N,\N,\N,\N,20220601,2
杭州市滨江区浦沿街道杨家墩社区上沙庙131号,2,杭州市,13,滨江区,128,浦沿街道,4,11882884,131号,94801,杨家墩社区,\N,\N,91889412,上沙庙,11882884,131号,\N,\N,\N,\N,\N,\N,20220601,2
