,province,city,area,address,name,lat,lng
117,浙江省,杭州市,拱墅区,浙江省杭州市拱墅区莫干山路708号,金投能源加油站,30.319085,120.123079
118,浙江省,杭州市,拱墅区,杭州市拱墅区德胜中路417号,东新加油站(德胜快速路入口店)停车场,30.30823,120.188328
119,浙江省,杭州市,西湖区,浙江省杭州市西湖区古墩路588号印象城F3,沃尔玛购物广场(印象城古墩路店),30.299921,120.105952
120,浙江省,杭州市,西湖区,浙江省杭州市西湖区余杭塘路与弘德路交叉口,永辉超市(西溪银泰城店),30.298771,120.08272
121,浙江省,杭州市,西湖区,浙江省杭州市西湖区洙泗路113号金街美地1楼,永辉超市(杭新店),30.153206,120.085377
122,浙江省,杭州市,西湖区,浙江省杭州市西湖区美院南街89号,华润万家(转塘店),30.156301,120.086402
123,浙江省,杭州市,西湖区,浙江省杭州市西湖区留下镇留下街118号,联华超市(西溪路店),30.248541,120.060707
124,浙江省,杭州市,西湖区,浙江省杭州市西湖区转塘镇江口218号江口大厦1~3层,联华超市(转塘江口店),30.169487,120.088556
125,浙江省,杭州市,西湖区,浙江省杭州市西湖区文一路122号,物美大卖场(文一路2店),30.295301,120.142843
126,浙江省,杭州市,西湖区,浙江省杭州市西湖区文一路298号,物美大卖场(文一店),30.294434,120.128678
127,浙江省,杭州市,西湖区,浙江省杭州市西湖区西溪路16号,联华超市(杭州松木场店),30.274364,120.152464
128,浙江省,杭州市,西湖区,杭州市西湖区留下街道留和家苑6幢9号,世纪华联超市(留下店),30.243319,120.060801
129,浙江省,杭州市,西湖区,浙江省杭州市西湖区文一西路180号,布丁酒店(文新地铁站店),30.293002,120.107874
130,浙江省,杭州市,西湖区,浙江省杭州市西湖区文二路28号,如家商旅酒店(杭州文二路沈塘桥地铁站店),30.28992,120.152456
131,浙江省,杭州市,西湖区,浙江省杭州市西湖区紫金港路21号,丽呈布鲁克酒店(杭州西溪天堂),30.272033,120.096142
132,浙江省,杭州市,西湖区,浙江省杭州市西湖区莫干山路511号,杭州梅苑宾馆,30.293954,120.151189
