,吉利车型,低配价格,高配价格,其它车型,其它车型低配价格,其它车型高配价格
140,星越S,13.57,17.17,哈弗神兽,13.00,16.70
141,星越S,13.57,17.17,哈弗神兽,13.00,16.70
142,帝豪新能源,13.58,16.18,名爵6 PHEV,14.58,19.98
143,帝豪新能源,13.58,16.18,名爵6 PHEV,14.58,19.98
144,帝豪新能源,13.58,16.18,卡罗拉双擎E+,20.78,23.08
145,帝豪新能源,13.58,16.18,卡罗拉双擎E+,20.78,23.08
146,帝豪新能源,13.58,16.18,秦Pro DM,13.69,20.49
147,帝豪新能源,13.58,16.18,秦Pro DM,13.69,20.49
148,帝豪新能源,13.58,16.18,大众ID.3,14.9888,18.2288
149,帝豪新能源,13.58,16.18,大众ID.3,14.9888,18.2288
150,星越新能源,15.58,19.68,宋Pro DM-i,13.88,16.38
151,星越新能源,15.58,19.68,宋Pro DM-i,13.88,16.38
152,星越新能源,15.58,19.68,领克01 PHEV,19.97,22.67
153,星越新能源,15.58,19.68,领克01 PHEV,19.97,22.67
154,星越新能源,15.58,19.68,传祺GS4 PHEV,16.38,19.38
155,星越新能源,15.58,19.68,传祺GS4 PHEV,16.38,19.38
156,星越新能源,15.58,19.68,玛奇朵DHT-PHEV,17.88,18.98
157,星越新能源,15.58,19.68,玛奇朵DHT-PHEV,17.88,18.98
158,嘉际新能源,15.18,17.48,宋MAX DM-i,14.58,17.28
159,嘉际新能源,15.18,17.48,宋MAX DM-i,14.58,17.28
160,嘉际新能源,15.18,17.48,上汽大通MAXUS EUNIQ 5,17.68,21.28
161,嘉际新能源,15.18,17.48,上汽大通MAXUS EUNIQ 5,17.68,21.28
162,嘉际新能源,15.18,17.48,上汽大通MAXUS G10,14.58,19.08
163,嘉际新能源,15.18,17.48,上汽大通MAXUS G10,14.58,19.08
164,嘉际新能源,15.18,17.48,风行M7,12.69,26.99
165,嘉际新能源,15.18,17.48,风行M7,12.69,26.99
166,博瑞新能源,15.58,16.98,名爵6 PHEV,14.58,19.98
167,博瑞新能源,15.58,16.98,名爵6 PHEV,14.58,19.98
168,博瑞新能源,15.58,16.98,秦Pro EV,14.99,20.49
169,博瑞新能源,15.58,16.98,秦Pro EV,14.99,20.49
170,博瑞新能源,15.58,16.98,荣威ei6 MAX,13.68,18.88
171,博瑞新能源,15.58,16.98,荣威ei6 MAX,13.68,18.88
172,博瑞新能源,15.58,16.98,威马E.5,16.01,19.01
173,博瑞新能源,15.58,16.98,威马E.5,16.01,19.01
